TRACE #1
--------------------------
{'x': 67.0}
{'z': 185.0, 'x': 67.0}
{'z': 128.0, 'x': 73.0, 'tmp': 0.0}
{'z': 128.0, 'x': 73.0, 'tmp': 1.0}
{'z': 128.0, 'x': 74.0, 'tmp': 1.0}
{'z': 128.0, 'x': 74.0, 'tmp': 0.0}
{'z': 128.0, 'x': 73.0, 'tmp': 0.0}
{'z': 127.0, 'x': 73.0, 'tmp': 0.0}
{'z': 127.0, 'x': 73.0, 'tmp': 1.0}
{'z': 127.0, 'x': 74.0, 'tmp': 1.0}
{'z': 127.0, 'x': 74.0, 'tmp': 1.0}
{'z': 127.0, 'x': 75.0, 'tmp': 1.0}
{'z': 127.0, 'x': 75.0, 'tmp': 1.0}
{'z': 127.0, 'x': 76.0, 'tmp': 1.0}
{'z': 127.0, 'x': 76.0, 'tmp': 0.0}
{'z': 127.0, 'x': 75.0, 'tmp': 0.0}
{'z': 126.0, 'x': 75.0, 'tmp': 0.0}
{'z': 126.0, 'x': 75.0, 'tmp': 1.0}
{'z': 126.0, 'x': 76.0, 'tmp': 1.0}
{'z': 126.0, 'x': 76.0, 'tmp': 0.0}
{'z': 126.0, 'x': 75.0, 'tmp': 0.0}
{'z': 125.0, 'x': 75.0, 'tmp': 0.0}
{'z': 125.0, 'x': 75.0, 'tmp': 1.0}
{'z': 125.0, 'x': 76.0, 'tmp': 1.0}
{'z': 125.0, 'x': 76.0, 'tmp': 0.0}
{'z': 125.0, 'x': 75.0, 'tmp': 0.0}
{'z': 124.0, 'x': 75.0, 'tmp': 0.0}
{'z': 124.0, 'x': 75.0, 'tmp': 1.0}
{'z': 124.0, 'x': 76.0, 'tmp': 1.0}
{'z': 124.0, 'x': 76.0, 'tmp': 1.0}
{'z': 124.0, 'x': 77.0, 'tmp': 1.0}
{'z': 124.0, 'x': 77.0, 'tmp': 1.0}
{'z': 124.0, 'x': 78.0, 'tmp': 1.0}
{'z': 124.0, 'x': 78.0, 'tmp': 1.0}
{'z': 124.0, 'x': 79.0, 'tmp': 1.0}
{'z': 124.0, 'x': 79.0, 'tmp': 0.0}
{'z': 124.0, 'x': 78.0, 'tmp': 0.0}
{'z': 123.0, 'x': 78.0, 'tmp': 0.0}
{'z': 123.0, 'x': 78.0, 'tmp': 1.0}
{'z': 123.0, 'x': 79.0, 'tmp': 1.0}
{'z': 123.0, 'x': 79.0, 'tmp': 0.0}
{'z': 123.0, 'x': 78.0, 'tmp': 0.0}
{'z': 122.0, 'x': 78.0, 'tmp': 0.0}
{'z': 122.0, 'x': 78.0, 'tmp': 1.0}
{'z': 122.0, 'x': 79.0, 'tmp': 1.0}
{'z': 122.0, 'x': 79.0, 'tmp': 1.0}
{'z': 122.0, 'x': 80.0, 'tmp': 1.0}
{'z': 122.0, 'x': 80.0, 'tmp': 0.0}
{'z': 122.0, 'x': 79.0, 'tmp': 0.0}
{'z': 121.0, 'x': 79.0, 'tmp': 0.0}
{'z': 121.0, 'x': 79.0, 'tmp': 1.0}
{'z': 121.0, 'x': 80.0, 'tmp': 1.0}
{'z': 121.0, 'x': 80.0, 'tmp': 0.0}
{'z': 121.0, 'x': 79.0, 'tmp': 0.0}
{'z': 120.0, 'x': 79.0, 'tmp': 0.0}
{'z': 120.0, 'x': 79.0, 'tmp': 1.0}
{'z': 120.0, 'x': 80.0, 'tmp': 1.0}
{'z': 120.0, 'x': 80.0, 'tmp': 1.0}
{'z': 120.0, 'x': 81.0, 'tmp': 1.0}
{'z': 120.0, 'x': 81.0, 'tmp': 0.0}
{'z': 120.0, 'x': 80.0, 'tmp': 0.0}
{'z': 119.0, 'x': 80.0, 'tmp': 0.0}
{'z': 119.0, 'x': 80.0, 'tmp': 0.0}
{'z': 119.0, 'x': 79.0, 'tmp': 0.0}
