TRACE #1
--------------------------
{'E1': 0.0}
{'S': 0.0, 'E1': 0.0}
{'S': 109.0, 'E1': -11.0, 'E0': 927.0}
{'S': 109.0, 'E1': -11.0, 'E0': 109.0}
{'S': 670.0, 'E1': -11.0, 'E0': 109.0}
{'S': 670.0, 'E1': 550.0, 'E0': 109.0}
{'S': 670.0, 'E1': 550.0, 'E0': 670.0}
{'S': 436.0, 'E1': 550.0, 'E0': 670.0}
{'S': 436.0, 'E1': 0.0, 'E0': 670.0}
{'S': 436.0, 'E1': 0.0, 'E0': 436.0}
{'S': 259.0, 'E1': 0.0, 'E0': 436.0}
{'S': 259.0, 'E1': -177.0, 'E0': 436.0}
{'S': 259.0, 'E1': -177.0, 'E0': 259.0}
{'S': 44.0, 'E1': -177.0, 'E0': 259.0}
{'S': 44.0, 'E1': 0.0, 'E0': 259.0}
{'S': 44.0, 'E1': 0.0, 'E0': 44.0}
{'S': 912.0, 'E1': 0.0, 'E0': 44.0}
{'S': 912.0, 'E1': 868.0, 'E0': 44.0}
{'S': 912.0, 'E1': 868.0, 'E0': 912.0}
{'S': 126.0, 'E1': 868.0, 'E0': 912.0}
{'S': 126.0, 'E1': 81.0, 'E0': 912.0}
{'S': 126.0, 'E1': 81.0, 'E0': 126.0}
{'S': 335.0, 'E1': 81.0, 'E0': 126.0}
{'S': 335.0, 'E1': 0.0, 'E0': 126.0}
{'S': 335.0, 'E1': 0.0, 'E0': 335.0}
{'S': 355.0, 'E1': 0.0, 'E0': 335.0}
{'S': 355.0, 'E1': 20.0, 'E0': 335.0}
{'S': 355.0, 'E1': 20.0, 'E0': 355.0}
{'S': 385.0, 'E1': 20.0, 'E0': 355.0}
{'S': 385.0, 'E1': 49.0, 'E0': 355.0}
{'S': 385.0, 'E1': 49.0, 'E0': 385.0}
{'S': 518.0, 'E1': 49.0, 'E0': 385.0}
{'S': 518.0, 'E1': 0.0, 'E0': 385.0}
{'S': 518.0, 'E1': 0.0, 'E0': 518.0}
{'S': 545.0, 'E1': 0.0, 'E0': 518.0}
{'S': 545.0, 'E1': 27.0, 'E0': 518.0}
{'S': 545.0, 'E1': 27.0, 'E0': 545.0}
{'S': 153.0, 'E1': 27.0, 'E0': 545.0}
{'S': 153.0, 'E1': 0.0, 'E0': 545.0}
{'S': 153.0, 'E1': 0.0, 'E0': 153.0}
{'S': 255.0, 'E1': 0.0, 'E0': 153.0}
{'S': 255.0, 'E1': 0.0, 'E0': 153.0}
